Research_Partial_Rank_v0_16,WS_ID,Name,Country,Primary_Ticker,Primary_MIC,Primary_Currency,Primary_Universe_Index,AsOf,Bars,Close_Tech,EMA20,EMA50,SMA200,ATR14_Wilder_DEV,R5,R20,R60,High20,High60,High252,Low20,Low60,Dist_EMA20,Dist_EMA50,Dist_SMA200,Dist_High252,Range20_Pct,MedianVolume20_Tech,MedianTurnover20_Native,P0_Core_Feature_Complete_v0_17,Obs_Close_Above_EMA20,Obs_Close_Above_EMA50,Obs_Close_Above_SMA200,Obs_R20_Positive,Obs_R60_Positive,Obs_R20_Warning_18pct,Obs_R60_Warning_30pct,P0_Dry_Run_Status_v0_17,P0_PASS_v0_17,P0_FAIL_NO_PRICE_SETUP_v0_17,P0_MULTI_LANE_v0_17,P0_DATA_ERROR_v0_17
1,WS:US:MU,Micron Technology,,MU,,USD,US_SP1500,2026-08-21,501,966.780029296875,928.324019062124,907.0941640090248,571.0984007263183,66.73968945416426,-0.0050222752634994,0.0497638487240077,0.0413287849788861,1036.1300048828125,1255.0,1255.0,737.8800048828125,737.8800048828125,0.0414252022409189,0.0657989739720743,0.6928431739037124,-0.2296573471738048,0.3084983046421768,36244400.0,33497978866.897583,True,True,True,True,True,True,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
2,WS:US:SNDK,Sandisk,,SNDK,,USD,US_SP1500,2026-08-21,382,1596.0799560546875,1497.34881041944,1511.4875062383094,939.2142988586426,154.47564654697112,-0.0274387638237595,0.1110429713722458,0.0038617903032278,1827.989990234375,2354.389892578125,2354.389892578125,998.1900024414062,998.1900024414062,0.0659373052879981,0.0559663572919013,0.6993778288877044,-0.3220834148642501,0.5198987586086425,17203700.0,24498397740.844727,True,True,True,True,True,True,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
3,WS:US:NVDA,Nvidia,,NVDA,,USD,US_SP1500,2026-08-21,501,214.72000122070312,215.45176433333805,210.54129712436944,195.28750022888184,6.263411267076707,-0.0463670379801256,0.0380971041497208,0.0099717547334183,227.9199981689453,232.27999877929688,236.5399932861328,190.00999450683597,189.8000030517578,-0.0033964127186387,0.0198474320877071,0.0995071418756752,-0.0922465235679402,0.1765555302095169,111362100.0,24664584572.758484,True,False,True,True,True,True,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
4,WS:XTKS:285A,KIOXIA HOLDINGS CORP.,Japan,285A,XTKS,JPY,JP_N225,2026-08-21,407,54320.0,54641.19169901864,59284.04505844884,36057.315,6680.3962134629965,0.0107927056196501,-0.1221719457013574,-0.1028901734104046,63350.0,112700.0,112700.0,36020.0,36020.0,-0.0058781971811278,-0.0837332380669154,0.5064904305825322,-0.5180124223602485,0.5031296023564065,46417950.0,2413868833500.0,True,False,False,True,False,False,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
5,WS:US:AAPL,Apple Inc.,,AAPL,,USD,US_SP1500,2026-08-21,501,309.3500061035156,312.0379496129457,309.380014715937,281.5015495300293,7.633398170589247,0.0111790720413569,-0.0710767632305233,-0.0048254784318726,344.57000732421875,344.57000732421875,344.57000732421875,300.0,273.75,-0.0086141557870259,-9.69959628741579e-05,0.0989282532191375,-0.1022143554925351,0.1440763098265613,48103450.0,14921589410.224916,True,False,False,True,False,False,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
6,WS:US:MSFT,Microsoft,,MSFT,,USD,US_SP1500,2026-08-21,501,483.239990234375,469.9807955829488,440.53442334440336,431.3127993774414,12.329011038500514,-0.0245458292529778,0.2660203688237486,0.1710082499585317,513.72998046875,513.72998046875,553.719970703125,387.989990234375,349.20001220703125,0.0282122052135767,0.0969403629477214,0.120393345460384,-0.127284519608807,0.2602019550852779,29318650.0,14258382571.73462,True,True,True,True,True,True,True,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
7,WS:US:AMD,Advanced Micro Devices,,AMD,,USD,US_SP1500,2026-08-21,501,473.25,487.9116903770157,485.5224935462947,329.8632504272461,28.399860642806456,-0.0799782528371101,-0.093303977522879,-0.044981249062761,530.1300048828125,584.72998046875,584.72998046875,424.0299987792969,424.0299987792969,-0.0300498853915273,-0.0252768794637204,0.4346854321814759,-0.1906520688051292,0.2241944133196315,24548800.0,11954577291.81366,True,False,False,True,False,False,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
8,WS:US:TSLA,"Tesla, Inc.",,TSLA,,USD,US_SP1500,2026-08-21,501,362.8599853515625,342.09640662718795,358.7801443437193,403.3203997802734,13.859117423751483,0.0601571770789057,0.1591859782339852,-0.175992375733521,366.5,443.9599914550781,498.8299865722656,297.3800048828125,297.3800048828125,0.0606951091041492,0.011371423620184,-0.10031829396865,-0.2725778419116853,0.1904866833145559,35669450.0,11568888367.480469,True,True,True,False,True,False,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
9,WS:US:INTC,Intel,,INTC,,USD,US_SP1500,2026-08-21,501,90.06999969482422,97.87350961142351,101.1881886298891,71.50794992446899,6.501139152806529,-0.1212682956602515,-0.0243717505138395,-0.2603268278076871,107.56999969482422,142.35000610351562,142.35000610351562,81.79000091552734,81.79000091552734,-0.0797305619015884,-0.1098763510406467,0.2595802255548032,-0.3672638157154265,0.2862218148844769,109654050.0,10048702822.473907,True,False,False,True,False,False,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
10,WS:US:AMZN,Amazon,,AMZN,,USD,US_SP1500,2026-08-21,501,258.6300048828125,260.77555978881765,254.8281176710001,238.3259999847412,7.48178349809076,-0.0153054982185008,0.1142561897493623,-0.048629762456835,287.20001220703125,287.20001220703125,287.20001220703125,226.16000366210935,225.5500030517578,-0.0082275919865445,0.0149194180240379,0.0851942503099589,-0.0994777371514307,0.2360128654545694,35692400.0,9400676864.523315,True,False,True,True,True,False,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
11,WS:US:META,Meta Platforms,,META,,USD,US_SP1500,2026-08-21,501,549.9000244140625,577.3355583591114,592.3748159039106,624.1281982421875,20.25759613688806,-0.0677290036880818,-0.076093311113374,-0.1343701540146616,612.4299926757812,686.0800170898438,790.7999877929688,524.489990234375,524.489990234375,-0.0475209495549268,-0.0717025611985807,-0.1189309728949651,-0.3046281829761154,0.1599199827916163,14932250.0,8837685297.58606,True,False,False,False,False,False,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
12,WS:US:GOOGL,Alphabet Inc. (Class A),,GOOGL,,USD,US_SP1500,2026-08-21,501,344.82000732421875,347.6613712160133,351.06244824959,333.0252995300293,9.3447879618656,-0.0031222509144906,0.0784387873142162,-0.1131856615175626,384.4800109863281,391.8699951171875,408.6099853515625,324.44000244140625,314.8999938964844,-0.0081727914776851,-0.0177815683690929,0.0354168521455706,-0.1561145843571584,0.1741198517186648,25123950.0,8810382959.362793,True,False,False,True,True,False,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
13,WS:US:AVGO,Broadcom,,AVGO,,USD,US_SP1500,2026-08-21,501,368.4500122070313,390.943893766402,392.3735111242576,369.1979504394531,15.280943806917405,-0.0624442826462535,-0.0352691682737696,-0.1266059237640691,432.7300109863281,495.0,495.0,357.6099853515625,356.42999267578125,-0.0575373651258801,-0.0609712384729512,-0.0020258461119071,-0.2556565409958965,0.2038811864458722,19365050.0,7136306927.250671,True,False,False,False,False,False,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
14,WS:US:PLTR,Palantir Technologies,,PLTR,,USD,US_SP1500,2026-08-21,501,179.94000244140625,161.59380907491416,148.0552135001191,151.505899848938,7.700604660621336,0.0339003067276235,0.4638789873238589,0.3579353248869352,182.44000244140625,182.44000244140625,207.5200042724609,117.88999938964844,106.37000274658205,0.1135327737585967,0.21535742097499,0.1876765368267443,-0.1329028588243659,0.3587307000997579,36609700.0,6177075078.8749695,True,True,True,True,True,True,True,True,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
15,WS:US:GOOG,Alphabet Inc. (Class C),,GOOG,,USD,US_SP1500,2026-08-21,501,341.75,345.7205601582238,349.25554816864906,332.0641993713379,8.994296000306237,-0.0052104805856632,0.0710144596263502,-0.1119455034052441,381.80999755859375,390.0,404.4700012207031,324.4100036621094,314.8900146484375,-0.0114848829251191,-0.0214901329642579,0.0291684579277116,-0.1550671274295058,0.1679590165222659,16061100.0,5559909306.503296,True,False,False,True,True,False,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
16,WS:XSHE:300308,"ZHONGJI INNOLIGHT CO., LTD.",China,300308,XSHE,CNY,CN_CSI300,2026-08-21,485,943.0,958.522885905642,1007.28392944764,783.6507511901856,77.31055414881865,0.0,-0.0989097178237281,-0.2128481809639233,1080.0,1416.8800048828125,1416.8800048828125,793.030029296875,793.030029296875,-0.0161945907957903,-0.0638190758020841,0.2033421757942546,-0.334453166993493,0.3043159816576087,36063415.0,34213301735.98816,True,False,False,True,False,False,False,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
17,WS:US:MRVL,Marvell Technology,,MRVL,,USD,US_SP1500,2026-08-21,501,237.0399932861328,221.20791945138785,218.2308301642009,145.07080017089845,18.365423153472214,0.067651512136895,0.2204087859768402,0.1929541868482138,252.5200042724609,329.8800048828125,329.8800048828125,162.89999389648438,162.89999389648438,0.0715710082803982,0.0861893028944604,0.6339607488680798,-0.2814357045667573,0.3780797034861352,23386000.0,4658272801.258087,True,True,True,True,True,True,True,False,NO_AUTOMATED_LANE_DECISION_PARAMETERS_NOT_VALIDATED,False,False,False,False
